country,year,M,X,dep_m,n_suppliers,HHI,HHI_clean,entropy,entropy_clean,DCI,GDP.x,DEE,DTE,DMSP,DUC,DTI,asym,cyc2,cyc_katz,broker,eigen,country_name,GDP.y,new_cb_firms,CB_Firms_Cumulative
AND,2017,902221622.9459962,0,1,37,0.7171464678295988,0.7092894252693097,0.7371675118956532,0.204149617833831,0,39361.0807539996,NA,NA,NA,NA,NA,0.7171464678295988,0,0,0,0.6080304658294743,Andorra,3000160414.63795,7,64
AND,2018,1154095710.2595153,0,1,38,0.7318322324952207,0.7245844549950915,0.7045503428959079,0.1936862281631573,0,39242.1633307803,NA,NA,NA,NA,NA,0.7318322324952207,0,0,0,0.6092016837510263,Andorra,3218418631.67579,1,65
AND,2019,1268563669.1978195,0,1,40,0.7178540251823637,0.7106195130075526,0.7393401290695804,0.20042404157312557,0,39346.2935180487,NA,NA,NA,NA,NA,0.7178540251823637,0,0,0,0.6394279687170769,Andorra,3155150255.91195,6,71
AND,2020,1999171008.721204,0,1,43,0.6857813116775313,0.6782999143365201,0.8021106962700182,0.21325924481476563,0,34536.666145207,NA,NA,NA,NA,NA,0.6857813116775313,0,0,0,0.6548018995254602,Andorra,2891002460.29153,7,78
AND,2021,2269243880.8178625,0,1,43,0.6697471561441677,0.6618839931952193,0.8221036163149096,0.21857481416229146,0,36929.0364995869,NA,NA,NA,NA,NA,0.6697471561441677,0,0,0,0.6307472882082323,Andorra,3324648075.56293,6,84
ARE,2016,3158805823.8263283,1080815.9964214126,0.9996579573511276,57,0.6665472676850562,0.6605927546080037,0.8735207741834943,0.21605483490476493,0.4196752776314793,45168.4982473243,NA,NA,NA,NA,NA,0.6665469020697441,10624144717577.568,4.96134502592227e-7,0.01092896174863388,0.9709031582979964,United Arab Emirates,381717086453.37,983,18868
ARE,2017,3433537438.7472773,1538626.0074841324,0.9995520838611782,60,0.6663949759488265,0.6607406535072812,0.8880630845250662,0.21689993869082008,0.4371144488930307,43293.0203824801,49.7488363731974,48.6823976949184,53.959267715164,54.7573464236916,41.5963336590156,0.6663947990952587,3028707105679.0063,5.3189293414135363e-8,0.01069456553327521,0.9678960249351626,United Arab Emirates,403365010211.028,1018,19886
ARE,2018,4748201645.205415,8036432.046756262,0.9983103385666937,59,0.6957492832291022,0.6905035812158109,0.8093141835504699,0.19848111628259096,0.24219639500344062,43377.7858697225,54.4636316377554,53.105028256824,56.5752333312351,60.3211931385924,47.85307182437,0.6957483930459903,48180951407157.89,7.396750243415795e-7,0.0108889289217158,0.9429980794348316,United Arab Emirates,440560108917.631,932,20818
ARE,2019,5838131742.560821,22883276.627942216,0.9960956802613501,60,0.6668345525978313,0.6611876806079641,0.8513204991776604,0.2079259540178094,0.28217885141456456,43468.4586811918,56.8154091629941,55.3703979929519,58.4436864081564,61.1326251035816,52.3149271472865,0.6667598856640348,22868859670981076,5.637828235860454e-5,0.00541250890947968,0.9522207600046496,United Arab Emirates,433926208304.969,913,21731
ARE,2020,5478452447.425938,31628184.132428456,0.9942599416873719,60,0.6250003737928553,0.6186444479249376,0.9473587557607438,0.2313822741011785,0.2876497083170991,39878.474427695,58.1191340817247,58.7441055405753,57.3374327804528,62.9196528859942,53.4753451198765,0.6249137478824087,31749125145781604,5.4394421036274565e-5,0.01623752672843905,0.9349292117385216,United Arab Emirates,357161878829.135,1020,22751
ARE,2021,7475571723.850131,29404038.706938524,0.9960820608037619,60,0.6027297515325337,0.5959963574907122,0.9430423424372696,0.23032803617423384,0.26079910459063843,40935.8936567784,59.8013558049774,61.8394233042028,59.1611615002155,61.3038742683396,56.9009641471517,0.602613530423154,69379342433029376,8.801790219803429e-5,0.00573665815297755,0.8859545634650393,United Arab Emirates,422441388699.796,1063,23814
ARG,2016,1378113266.793293,8015815.998005057,0.994217121552732,50,0.5413637567762103,0.5320038334451125,1.1396658664663555,0.2913239172890872,0.05911777720283839,13265.8860639123,NA,NA,NA,NA,NA,0.5412076270254079,5841735407443350,5.031933723254056e-5,0,0.8527878136573119,Argentina,557532320662.955,295,11090
ARG,2017,2860759711.1072073,5734317.0016178135,0.9979995363864752,55,0.6002977146308021,0.5928958204572984,1.027577270273942,0.2564242159999808,0.0972888870176327,13520.1129846159,41.1248277821033,36.549792878157,43.5619914009848,48.0572968696775,36.3302299795939,0.6002038073725003,9373435531094050,4.484425657858005e-5,0,0.8995942436170197,Argentina,643628393281.364,323,11413
ARG,2018,3442981665.639099,4724027.000738543,0.9986298056093292,55,0.6212861260239132,0.6142729061354671,0.9741650707529353,0.24309560141963155,0.10031970197908102,13058.3285449954,43.3356150594647,38.6891013001594,45.1706840705132,51.2038659784236,38.2788088887627,0.6212154028922091,10484715915044750,3.106610097813878e-5,0,0.8903830677470714,Argentina,524819892360.176,299,11712
ARG,2019,3669443487.667465,6089194.000283468,0.998343316594448,57,0.5785921968740886,0.5710670575325544,1.03790060184083,0.25671220399753364,0.09994065035125595,12706.3978108968,45.0408030775064,39.9656462105459,46.783303746452,53.4243158689119,39.9899464841158,0.5785227797775718,13617749074599918,3.199647673368666e-5,0,0.9128465770966931,Argentina,447754683615.225,256,11968
ARG,2020,3718728995.385719,6450190.000954037,0.998268488660557,58,0.4864163512236242,0.4774061117714071,1.1744068048682272,0.28923120009759373,0.07555190976387481,11393.0505957877,47.0132627148514,40.2961577630218,48.3006683559611,58.4957579953696,40.960466745053,0.4863650562485174,13080237388142132,2.1391458819852716e-5,0,0.8972623454422403,Argentina,385740508436.965,244,12212
ARG,2021,5038470404.967979,8577341.999822339,0.9983005229136229,62,0.4507189813548803,0.4417143744918456,1.1819839348276417,0.28639337238705587,0.08916443099823439,12549.2811699342,48.6290520143699,40.8793224310338,51.135428306366,59.9269191745737,42.5745381455061,0.4506616861646916,23220708518300768,2.8340173400032143e-5,0,0.9186588259611352,Argentina,486564085480.036,135,12347
ARM,2016,315923878.2269563,0,1,26,0.6840127671934826,0.6713732778812219,0.8143184146188185,0.24993685887322512,0,3533.88503607007,NA,NA,NA,NA,NA,0.6840127671934826,0,0,0,0.4594044384824727,Armenia,10546136235.5219,33,352
ARM,2017,351413263.5015021,0,1,30,0.6860250904955918,0.6751983694781984,0.8116338675215161,0.23863180416917554,0,3815.3747426037,26.9658982426591,29.6177005735343,27.3592990059621,28.524434114729,22.362159276411,0.6860250904955918,0,0,0,0.4939931654252156,Armenia,11527458709.0158,46,398
ARM,2018,579821544.7984616,0,1,34,0.7014024388933401,0.692354027950714,0.7709905231387207,0.21863632993754709,0,4027.83393010979,31.7968050107908,32.0158701245064,33.6898998842317,33.2631134523596,28.2183365820654,0.7014024388933401,0,0,0,0.5527208879549961,Armenia,12457940694.7395,35,433
ARM,2019,892482389.9805984,313995.9999470215,0.9996483005477198,35,0.6944161462290103,0.6854283858239811,0.7878925945211495,0.22160772472754298,0.014506234103038368,4343.45839583019,35.3772863203263,33.3685537137921,37.5094614414957,38.234695050015,32.3964350760024,0.694416024806465,1939934858277.156,3.5357578198613744e-8,0,0.5580801284935337,Armenia,13619290539.2116,26,459
ARM,2020,1057140156.1214255,145109,0.999862753218278,40,0.6543459736757329,0.6454830499238285,0.8613365177885215,0.2334954363520706,0.01389171631394341,4032.09043454955,36.9321025241792,34.0848174481371,35.4648570122764,44.5807423155942,33.5979933207091,0.654345929832191,472610011163.74274,2.402696930303705e-9,0,0.6070408298854437,Armenia,12641698583.2152,23,482
