firm,iso_o,category,parent
MICROSOFT DEVELOPMENT CENTER NORWAY AS,NOR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT DEVELOPMENT CENTER NORWAY AS,NOR,operating-system,MICROSOFT CORPORATION
MICROSOFT DEVELOPMENT CENTER NORWAY AS,NOR,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT DO BRASIL IMPORTACAO E COMERCIO DE SOFTWARE E VIDEO GAMES LTDA,BRA,cloud-computing,MICROSOFT CORPORATION
MICROSOFT DO BRASIL IMPORTACAO E COMERCIO DE SOFTWARE E VIDEO GAMES LTDA,BRA,digital-advertising,MICROSOFT CORPORATION
MICROSOFT DO BRASIL IMPORTACAO E COMERCIO DE SOFTWARE E VIDEO GAMES LTDA,BRA,operating-system,MICROSOFT CORPORATION
MICROSOFT DO BRASIL IMPORTACAO E COMERCIO DE SOFTWARE E VIDEO GAMES LTDA,BRA,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT DOMINICANA,DOM,cloud-computing,MICROSOFT CORPORATION
MICROSOFT DOMINICANA,DOM,digital-advertising,MICROSOFT CORPORATION
MICROSOFT DOMINICANA,DOM,operating-system,MICROSOFT CORPORATION
MICROSOFT DOMINICANA,DOM,software_productivity-software_office-software,MICROSOFT CORPORATION
"MICROSOFT DRUZBA ZA RACUNALNISKE PROGRAME IN OPREMO D.O.O., LJUBLJANA",SVN,cloud-computing,MICROSOFT CORPORATION
"MICROSOFT DRUZBA ZA RACUNALNISKE PROGRAME IN OPREMO D.O.O., LJUBLJANA",SVN,digital-advertising,MICROSOFT CORPORATION
"MICROSOFT DRUZBA ZA RACUNALNISKE PROGRAME IN OPREMO D.O.O., LJUBLJANA",SVN,operating-system,MICROSOFT CORPORATION
"MICROSOFT DRUZBA ZA RACUNALNISKE PROGRAME IN OPREMO D.O.O., LJUBLJANA",SVN,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT EGYPT,EGY,cloud-computing,MICROSOFT CORPORATION
MICROSOFT EGYPT,EGY,digital-advertising,MICROSOFT CORPORATION
MICROSOFT EGYPT,EGY,operating-system,MICROSOFT CORPORATION
MICROSOFT EGYPT,EGY,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT EGYPT COMPANY,EGY,cloud-computing,MICROSOFT CORPORATION
MICROSOFT EGYPT COMPANY,EGY,digital-advertising,MICROSOFT CORPORATION
MICROSOFT EGYPT COMPANY,EGY,operating-system,MICROSOFT CORPORATION
MICROSOFT EGYPT COMPANY,EGY,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT EMEA,FRA,cloud-computing,MICROSOFT CORPORATION
MICROSOFT EMEA,FRA,digital-advertising,MICROSOFT CORPORATION
MICROSOFT EMEA,FRA,operating-system,MICROSOFT CORPORATION
MICROSOFT EMEA,FRA,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT ENGINEERING CENTER PARIS,FRA,cloud-computing,MICROSOFT CORPORATION
MICROSOFT ENGINEERING CENTER PARIS,FRA,digital-advertising,MICROSOFT CORPORATION
MICROSOFT ENGINEERING CENTER PARIS,FRA,operating-system,MICROSOFT CORPORATION
MICROSOFT ENGINEERING CENTER PARIS,FRA,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT ESTONIA OU,EST,cloud-computing,MICROSOFT CORPORATION
MICROSOFT ESTONIA OU,EST,digital-advertising,MICROSOFT CORPORATION
MICROSOFT ESTONIA OU,EST,operating-system,MICROSOFT CORPORATION
MICROSOFT ESTONIA OU,EST,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT FRANCE,FRA,cloud-computing,MICROSOFT CORPORATION
MICROSOFT FRANCE,FRA,digital-advertising,MICROSOFT CORPORATION
MICROSOFT FRANCE,FRA,operating-system,MICROSOFT CORPORATION
MICROSOFT FRANCE,FRA,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT GOVERNMENT AFFAIRS,USA,cloud-computing,MICROSOFT CORPORATION
MICROSOFT GOVERNMENT AFFAIRS,USA,digital-advertising,MICROSOFT CORPORATION
MICROSOFT GOVERNMENT AFFAIRS,USA,operating-system,MICROSOFT CORPORATION
MICROSOFT GOVERNMENT AFFAIRS,USA,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT GULF FZ-LLZ,ARE,cloud-computing,MICROSOFT CORPORATION
MICROSOFT GULF FZ-LLZ,ARE,digital-advertising,MICROSOFT CORPORATION
MICROSOFT GULF FZ-LLZ,ARE,operating-system,MICROSOFT CORPORATION
MICROSOFT GULF FZ-LLZ,ARE,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT HELLAS SOLE SHAREHOLDER CO. S.A.,GRC,cloud-computing,MICROSOFT CORPORATION
MICROSOFT HELLAS SOLE SHAREHOLDER CO. S.A.,GRC,digital-advertising,MICROSOFT CORPORATION
MICROSOFT HELLAS SOLE SHAREHOLDER CO. S.A.,GRC,operating-system,MICROSOFT CORPORATION
MICROSOFT HELLAS SOLE SHAREHOLDER CO. S.A.,GRC,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT HOLDINGS PTE. LTD.,SGP,cloud-computing,MICROSOFT CORPORATION
MICROSOFT HOLDINGS PTE. LTD.,SGP,digital-advertising,MICROSOFT CORPORATION
MICROSOFT HOLDINGS PTE. LTD.,SGP,operating-system,MICROSOFT CORPORATION
MICROSOFT HOLDINGS PTE. LTD.,SGP,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT HOMES INC,USA,cloud-computing,MICROSOFT CORPORATION
MICROSOFT HOMES INC,USA,digital-advertising,MICROSOFT CORPORATION
MICROSOFT HOMES INC,USA,operating-system,MICROSOFT CORPORATION
MICROSOFT HOMES INC,USA,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT HONG KONG LIMITED,HKG,cloud-computing,MICROSOFT CORPORATION
MICROSOFT HONG KONG LIMITED,HKG,digital-advertising,MICROSOFT CORPORATION
MICROSOFT HONG KONG LIMITED,HKG,operating-system,MICROSOFT CORPORATION
MICROSOFT HONG KONG LIMITED,HKG,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT HRVATSKA D.O.O.,HRV,cloud-computing,MICROSOFT CORPORATION
MICROSOFT HRVATSKA D.O.O.,HRV,digital-advertising,MICROSOFT CORPORATION
MICROSOFT HRVATSKA D.O.O.,HRV,operating-system,MICROSOFT CORPORATION
MICROSOFT HRVATSKA D.O.O.,HRV,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT IBERICA SRL,ESP,cloud-computing,MICROSOFT CORPORATION
MICROSOFT IBERICA SRL,ESP,digital-advertising,MICROSOFT CORPORATION
MICROSOFT IBERICA SRL,ESP,operating-system,MICROSOFT CORPORATION
MICROSOFT IBERICA SRL,ESP,software_productivity-software_office-software,MICROSOFT CORPORATION
"MICROSOFT INDONESIA, PT",IDN,cloud-computing,MICROSOFT CORPORATION
"MICROSOFT INDONESIA, PT",IDN,digital-advertising,MICROSOFT CORPORATION
"MICROSOFT INDONESIA, PT",IDN,operating-system,MICROSOFT CORPORATION
"MICROSOFT INDONESIA, PT",IDN,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT INTERNATIONAL HOLDINGS SPAIN S R L,ESP,cloud-computing,MICROSOFT CORPORATION
MICROSOFT INTERNATIONAL HOLDINGS SPAIN S R L,ESP,digital-advertising,MICROSOFT CORPORATION
MICROSOFT INTERNATIONAL HOLDINGS SPAIN S R L,ESP,operating-system,MICROSOFT CORPORATION
MICROSOFT INTERNATIONAL HOLDINGS SPAIN S R L,ESP,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT IRELAND ENERGY LIMITED,IRL,cloud-computing,MICROSOFT CORPORATION
MICROSOFT IRELAND ENERGY LIMITED,IRL,digital-advertising,MICROSOFT CORPORATION
MICROSOFT IRELAND ENERGY LIMITED,IRL,operating-system,MICROSOFT CORPORATION
MICROSOFT IRELAND ENERGY LIMITED,IRL,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT ISLAND EHF.,ISL,cloud-computing,MICROSOFT CORPORATION
MICROSOFT ISLAND EHF.,ISL,digital-advertising,MICROSOFT CORPORATION
MICROSOFT ISLAND EHF.,ISL,operating-system,MICROSOFT CORPORATION
MICROSOFT ISLAND EHF.,ISL,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT ISRAEL LTD.,ISR,cloud-computing,MICROSOFT CORPORATION
MICROSOFT ISRAEL LTD.,ISR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT ISRAEL LTD.,ISR,operating-system,MICROSOFT CORPORATION
MICROSOFT ISRAEL LTD.,ISR,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT ISRAEL RESEARCH AND DEVELOPMENT (2002) LTD,ISR,cloud-computing,MICROSOFT CORPORATION
MICROSOFT ISRAEL RESEARCH AND DEVELOPMENT (2002) LTD,ISR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT ISRAEL RESEARCH AND DEVELOPMENT (2002) LTD,ISR,operating-system,MICROSOFT CORPORATION
MICROSOFT ISRAEL RESEARCH AND DEVELOPMENT (2002) LTD,ISR,software_productivity-software_office-software,MICROSOFT CORPORATION
"MICROSOFT JAPAN CO.,LTD.",JPN,cloud-computing,MICROSOFT CORPORATION
"MICROSOFT JAPAN CO.,LTD.",JPN,digital-advertising,MICROSOFT CORPORATION
"MICROSOFT JAPAN CO.,LTD.",JPN,operating-system,MICROSOFT CORPORATION
"MICROSOFT JAPAN CO.,LTD.",JPN,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT KAZAKHSTAN (MAIKROSOFT KAZAKHSTAN),KAZ,cloud-computing,MICROSOFT CORPORATION
MICROSOFT KAZAKHSTAN (MAIKROSOFT KAZAKHSTAN),KAZ,digital-advertising,MICROSOFT CORPORATION
MICROSOFT KAZAKHSTAN (MAIKROSOFT KAZAKHSTAN),KAZ,operating-system,MICROSOFT CORPORATION
MICROSOFT KAZAKHSTAN (MAIKROSOFT KAZAKHSTAN),KAZ,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT KOREA INC,KOR,cloud-computing,MICROSOFT CORPORATION
MICROSOFT KOREA INC,KOR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT KOREA INC,KOR,operating-system,MICROSOFT CORPORATION
MICROSOFT KOREA INC,KOR,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT LATVIA SIA,LVA,cloud-computing,MICROSOFT CORPORATION
MICROSOFT LATVIA SIA,LVA,digital-advertising,MICROSOFT CORPORATION
MICROSOFT LATVIA SIA,LVA,operating-system,MICROSOFT CORPORATION
MICROSOFT LATVIA SIA,LVA,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT LEBANON SARL,LBN,cloud-computing,MICROSOFT CORPORATION
MICROSOFT LEBANON SARL,LBN,digital-advertising,MICROSOFT CORPORATION
MICROSOFT LEBANON SARL,LBN,operating-system,MICROSOFT CORPORATION
MICROSOFT LEBANON SARL,LBN,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT LICENSING GP,USA,cloud-computing,MICROSOFT CORPORATION
MICROSOFT LICENSING GP,USA,digital-advertising,MICROSOFT CORPORATION
MICROSOFT LICENSING GP,USA,operating-system,MICROSOFT CORPORATION
MICROSOFT LICENSING GP,USA,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT LIMITED,GBR,cloud-computing,MICROSOFT CORPORATION
MICROSOFT LIMITED,GBR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT LIMITED,GBR,operating-system,MICROSOFT CORPORATION
MICROSOFT LIMITED,GBR,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT LUXEMBOURG S.A R.L.,LUX,cloud-computing,MICROSOFT CORPORATION
MICROSOFT LUXEMBOURG S.A R.L.,LUX,digital-advertising,MICROSOFT CORPORATION
MICROSOFT LUXEMBOURG S.A R.L.,LUX,operating-system,MICROSOFT CORPORATION
MICROSOFT LUXEMBOURG S.A R.L.,LUX,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT MALTA LIMITED,MLT,cloud-computing,MICROSOFT CORPORATION
MICROSOFT MALTA LIMITED,MLT,digital-advertising,MICROSOFT CORPORATION
MICROSOFT MALTA LIMITED,MLT,operating-system,MICROSOFT CORPORATION
MICROSOFT MALTA LIMITED,MLT,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT MAROC,MAR,cloud-computing,MICROSOFT CORPORATION
MICROSOFT MAROC,MAR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT MAROC,MAR,operating-system,MICROSOFT CORPORATION
MICROSOFT MAROC,MAR,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT MCIO SCHWEIZ GMBH,CHE,cloud-computing,MICROSOFT CORPORATION
MICROSOFT MCIO SCHWEIZ GMBH,CHE,digital-advertising,MICROSOFT CORPORATION
MICROSOFT MCIO SCHWEIZ GMBH,CHE,operating-system,MICROSOFT CORPORATION
MICROSOFT MCIO SCHWEIZ GMBH,CHE,software_productivity-software_office-software,MICROSOFT CORPORATION
"MICROSOFT MOBILE (CHINA) INVESTMENTS CO., LTD.",CHN,cloud-computing,MICROSOFT CORPORATION
"MICROSOFT MOBILE (CHINA) INVESTMENTS CO., LTD.",CHN,digital-advertising,MICROSOFT CORPORATION
"MICROSOFT MOBILE (CHINA) INVESTMENTS CO., LTD.",CHN,operating-system,MICROSOFT CORPORATION
"MICROSOFT MOBILE (CHINA) INVESTMENTS CO., LTD.",CHN,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT MOBILE KOMUNIKASYON ANONIM SIRKETI,TUR,cloud-computing,MICROSOFT CORPORATION
MICROSOFT MOBILE KOMUNIKASYON ANONIM SIRKETI,TUR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT MOBILE KOMUNIKASYON ANONIM SIRKETI,TUR,operating-system,MICROSOFT CORPORATION
MICROSOFT MOBILE KOMUNIKASYON ANONIM SIRKETI,TUR,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT MOBILE SALES INTERNATIONAL OY,FIN,cloud-computing,MICROSOFT CORPORATION
MICROSOFT MOBILE SALES INTERNATIONAL OY,FIN,digital-advertising,MICROSOFT CORPORATION
MICROSOFT MOBILE SALES INTERNATIONAL OY,FIN,operating-system,MICROSOFT CORPORATION
MICROSOFT MOBILE SALES INTERNATIONAL OY,FIN,software_productivity-software_office-software,MICROSOFT CORPORATION
"MICROSOFT MOBILE SERVICIOS, S.A. DE C.V.",MEX,cloud-computing,MICROSOFT CORPORATION
"MICROSOFT MOBILE SERVICIOS, S.A. DE C.V.",MEX,digital-advertising,MICROSOFT CORPORATION
"MICROSOFT MOBILE SERVICIOS, S.A. DE C.V.",MEX,operating-system,MICROSOFT CORPORATION
"MICROSOFT MOBILE SERVICIOS, S.A. DE C.V.",MEX,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT MOBILE TECNOLOGIA LTDA.,BRA,cloud-computing,MICROSOFT CORPORATION
MICROSOFT MOBILE TECNOLOGIA LTDA.,BRA,digital-advertising,MICROSOFT CORPORATION
MICROSOFT MOBILE TECNOLOGIA LTDA.,BRA,operating-system,MICROSOFT CORPORATION
MICROSOFT MOBILE TECNOLOGIA LTDA.,BRA,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT MOBILE TELECOMMUNICATIONS LTD.,CHN,cloud-computing,MICROSOFT CORPORATION
MICROSOFT MOBILE TELECOMMUNICATIONS LTD.,CHN,digital-advertising,MICROSOFT CORPORATION
MICROSOFT MOBILE TELECOMMUNICATIONS LTD.,CHN,operating-system,MICROSOFT CORPORATION
MICROSOFT MOBILE TELECOMMUNICATIONS LTD.,CHN,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT MOBILE UK LIMITED,GBR,cloud-computing,MICROSOFT CORPORATION
MICROSOFT MOBILE UK LIMITED,GBR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT MOBILE UK LIMITED,GBR,operating-system,MICROSOFT CORPORATION
MICROSOFT MOBILE UK LIMITED,GBR,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT MS,USA,cloud-computing,MICROSOFT CORPORATION
MICROSOFT MS,USA,digital-advertising,MICROSOFT CORPORATION
MICROSOFT MS,USA,operating-system,MICROSOFT CORPORATION
MICROSOFT MS,USA,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT NEW ZEALAND LIMITED,NZL,cloud-computing,MICROSOFT CORPORATION
MICROSOFT NEW ZEALAND LIMITED,NZL,digital-advertising,MICROSOFT CORPORATION
MICROSOFT NEW ZEALAND LIMITED,NZL,operating-system,MICROSOFT CORPORATION
MICROSOFT NEW ZEALAND LIMITED,NZL,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT NORGE AS,NOR,cloud-computing,MICROSOFT CORPORATION
MICROSOFT NORGE AS,NOR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT NORGE AS,NOR,operating-system,MICROSOFT CORPORATION
MICROSOFT NORGE AS,NOR,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT OESTERREICH GMBH,AUT,cloud-computing,MICROSOFT CORPORATION
MICROSOFT OESTERREICH GMBH,AUT,digital-advertising,MICROSOFT CORPORATION
MICROSOFT OESTERREICH GMBH,AUT,operating-system,MICROSOFT CORPORATION
MICROSOFT OESTERREICH GMBH,AUT,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT OY,FIN,cloud-computing,MICROSOFT CORPORATION
MICROSOFT OY,FIN,digital-advertising,MICROSOFT CORPORATION
MICROSOFT OY,FIN,operating-system,MICROSOFT CORPORATION
MICROSOFT OY,FIN,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT PAYMENTS (MALAYSIA) SDN. BHD.,MYS,cloud-computing,MICROSOFT CORPORATION
MICROSOFT PAYMENTS (MALAYSIA) SDN. BHD.,MYS,digital-advertising,MICROSOFT CORPORATION
MICROSOFT PAYMENTS (MALAYSIA) SDN. BHD.,MYS,operating-system,MICROSOFT CORPORATION
MICROSOFT PAYMENTS (MALAYSIA) SDN. BHD.,MYS,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT PAYMENTS PTE. LTD.,SGP,cloud-computing,MICROSOFT CORPORATION
MICROSOFT PAYMENTS PTE. LTD.,SGP,digital-advertising,MICROSOFT CORPORATION
MICROSOFT PAYMENTS PTE. LTD.,SGP,operating-system,MICROSOFT CORPORATION
MICROSOFT PAYMENTS PTE. LTD.,SGP,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT PAYMENTS UNLIMITED COMPANY,IRL,cloud-computing,MICROSOFT CORPORATION
MICROSOFT PAYMENTS UNLIMITED COMPANY,IRL,digital-advertising,MICROSOFT CORPORATION
MICROSOFT PAYMENTS UNLIMITED COMPANY,IRL,operating-system,MICROSOFT CORPORATION
MICROSOFT PAYMENTS UNLIMITED COMPANY,IRL,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT PERU SRL,PER,cloud-computing,MICROSOFT CORPORATION
MICROSOFT PERU SRL,PER,digital-advertising,MICROSOFT CORPORATION
MICROSOFT PERU SRL,PER,operating-system,MICROSOFT CORPORATION
MICROSOFT PERU SRL,PER,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT PHILS INC,PHL,cloud-computing,MICROSOFT CORPORATION
MICROSOFT PHILS INC,PHL,digital-advertising,MICROSOFT CORPORATION
MICROSOFT PHILS INC,PHL,operating-system,MICROSOFT CORPORATION
MICROSOFT PHILS INC,PHL,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT PROPERTIES UK LIMITED,GBR,cloud-computing,MICROSOFT CORPORATION
MICROSOFT PROPERTIES UK LIMITED,GBR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT PROPERTIES UK LIMITED,GBR,operating-system,MICROSOFT CORPORATION
MICROSOFT PROPERTIES UK LIMITED,GBR,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT PTY LTD,AUS,cloud-computing,MICROSOFT CORPORATION
MICROSOFT PTY LTD,AUS,digital-advertising,MICROSOFT CORPORATION
MICROSOFT PTY LTD,AUS,operating-system,MICROSOFT CORPORATION
MICROSOFT PTY LTD,AUS,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT QSTP LLC,QAT,cloud-computing,MICROSOFT CORPORATION
MICROSOFT QSTP LLC,QAT,digital-advertising,MICROSOFT CORPORATION
MICROSOFT QSTP LLC,QAT,operating-system,MICROSOFT CORPORATION
MICROSOFT QSTP LLC,QAT,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT RESEARCH & DEVELOPMENT FRANCE SAS,FRA,cloud-computing,MICROSOFT CORPORATION
MICROSOFT RESEARCH & DEVELOPMENT FRANCE SAS,FRA,digital-advertising,MICROSOFT CORPORATION
MICROSOFT RESEARCH & DEVELOPMENT FRANCE SAS,FRA,operating-system,MICROSOFT CORPORATION
MICROSOFT RESEARCH & DEVELOPMENT FRANCE SAS,FRA,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT RESEARCH LIMITED,GBR,cloud-computing,MICROSOFT CORPORATION
MICROSOFT RESEARCH LIMITED,GBR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT RESEARCH LIMITED,GBR,operating-system,MICROSOFT CORPORATION
MICROSOFT RESEARCH LIMITED,GBR,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT RL UNLIMITED COMPANY,IRL,cloud-computing,MICROSOFT CORPORATION
MICROSOFT RL UNLIMITED COMPANY,IRL,digital-advertising,MICROSOFT CORPORATION
MICROSOFT RL UNLIMITED COMPANY,IRL,operating-system,MICROSOFT CORPORATION
MICROSOFT RL UNLIMITED COMPANY,IRL,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT ROMANIA SRL,ROU,cloud-computing,MICROSOFT CORPORATION
MICROSOFT ROMANIA SRL,ROU,digital-advertising,MICROSOFT CORPORATION
MICROSOFT ROMANIA SRL,ROU,operating-system,MICROSOFT CORPORATION
MICROSOFT ROMANIA SRL,ROU,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT ROUND ISLAND ONE UNLIMITED COMPANY,IRL,cloud-computing,MICROSOFT CORPORATION
MICROSOFT ROUND ISLAND ONE UNLIMITED COMPANY,IRL,digital-advertising,MICROSOFT CORPORATION
MICROSOFT ROUND ISLAND ONE UNLIMITED COMPANY,IRL,operating-system,MICROSOFT CORPORATION
MICROSOFT ROUND ISLAND ONE UNLIMITED COMPANY,IRL,software_productivity-software_office-software,MICROSOFT CORPORATION
"MICROSOFT RUS, A LIMITED LIABILITY COMPANY MICROSOFT RUS LLC",RUS,cloud-computing,MICROSOFT CORPORATION
"MICROSOFT RUS, A LIMITED LIABILITY COMPANY MICROSOFT RUS LLC",RUS,digital-advertising,MICROSOFT CORPORATION
"MICROSOFT RUS, A LIMITED LIABILITY COMPANY MICROSOFT RUS LLC",RUS,operating-system,MICROSOFT CORPORATION
"MICROSOFT RUS, A LIMITED LIABILITY COMPANY MICROSOFT RUS LLC",RUS,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT S.R.O.,CZE,cloud-computing,MICROSOFT CORPORATION
MICROSOFT S.R.O.,CZE,digital-advertising,MICROSOFT CORPORATION
MICROSOFT S.R.O.,CZE,operating-system,MICROSOFT CORPORATION
MICROSOFT S.R.O.,CZE,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT SCHWEIZ GMBH,CHE,cloud-computing,MICROSOFT CORPORATION
MICROSOFT SCHWEIZ GMBH,CHE,digital-advertising,MICROSOFT CORPORATION
MICROSOFT SCHWEIZ GMBH,CHE,operating-system,MICROSOFT CORPORATION
MICROSOFT SCHWEIZ GMBH,CHE,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT SINGAPORE INVESTMENTS PTE. LTD.,SGP,cloud-computing,MICROSOFT CORPORATION
MICROSOFT SINGAPORE INVESTMENTS PTE. LTD.,SGP,digital-advertising,MICROSOFT CORPORATION
MICROSOFT SINGAPORE INVESTMENTS PTE. LTD.,SGP,operating-system,MICROSOFT CORPORATION
MICROSOFT SINGAPORE INVESTMENTS PTE. LTD.,SGP,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT SLOVAKIA S.R.O.,SVK,cloud-computing,MICROSOFT CORPORATION
MICROSOFT SLOVAKIA S.R.O.,SVK,digital-advertising,MICROSOFT CORPORATION
MICROSOFT SLOVAKIA S.R.O.,SVK,operating-system,MICROSOFT CORPORATION
MICROSOFT SLOVAKIA S.R.O.,SVK,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT SOFTWARE DOO BEOGRAD,SRB,cloud-computing,MICROSOFT CORPORATION
MICROSOFT SOFTWARE DOO BEOGRAD,SRB,digital-advertising,MICROSOFT CORPORATION
MICROSOFT SOFTWARE DOO BEOGRAD,SRB,operating-system,MICROSOFT CORPORATION
MICROSOFT SOFTWARE DOO BEOGRAD,SRB,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT STORE,USA,cloud-computing,MICROSOFT CORPORATION
MICROSOFT STORE,USA,digital-advertising,MICROSOFT CORPORATION
MICROSOFT STORE,USA,operating-system,MICROSOFT CORPORATION
MICROSOFT STORE,USA,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT SUPPORT LIMITED,GBR,cloud-computing,MICROSOFT CORPORATION
MICROSOFT SUPPORT LIMITED,GBR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT SUPPORT LIMITED,GBR,operating-system,MICROSOFT CORPORATION
MICROSOFT SUPPORT LIMITED,GBR,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT SYSTEM MARKETING DEUTSCHLAND GMBH,DEU,cloud-computing,MICROSOFT CORPORATION
MICROSOFT SYSTEM MARKETING DEUTSCHLAND GMBH,DEU,digital-advertising,MICROSOFT CORPORATION
MICROSOFT SYSTEM MARKETING DEUTSCHLAND GMBH,DEU,operating-system,MICROSOFT CORPORATION
MICROSOFT SYSTEM MARKETING DEUTSCHLAND GMBH,DEU,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT SYSTEM MARKETING LIMITED,GBR,cloud-computing,MICROSOFT CORPORATION
MICROSOFT SYSTEM MARKETING LIMITED,GBR,digital-advertising,MICROSOFT CORPORATION
MICROSOFT SYSTEM MARKETING LIMITED,GBR,operating-system,MICROSOFT CORPORATION
MICROSOFT SYSTEM MARKETING LIMITED,GBR,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT TAIWAN CORPORATION,TWN,cloud-computing,MICROSOFT CORPORATION
MICROSOFT TAIWAN CORPORATION,TWN,digital-advertising,MICROSOFT CORPORATION
MICROSOFT TAIWAN CORPORATION,TWN,operating-system,MICROSOFT CORPORATION
MICROSOFT TAIWAN CORPORATION,TWN,software_productivity-software_office-software,MICROSOFT CORPORATION
MICROSOFT VIETNAM CORP - HANOI,VNM,cloud-computing,MICROSOFT CORPORATION
MICROSOFT VIETNAM CORP - HANOI,VNM,digital-advertising,MICROSOFT CORPORATION
MICROSOFT VIETNAM CORP - HANOI,VNM,operating-system,MICROSOFT CORPORATION
MICROSOFT VIETNAM CORP - HANOI,VNM,software_productivity-software_office-software,MICROSOFT CORPORATION
MILANO ACQUISITION CORP,USA,cloud-computing,ORACLE CORP
MILANO ACQUISITION CORP,USA,software_enterprise-software_enterprise-resource-planning-software,ORACLE CORP
"MILESTONE HOLDCO, LLC",USA,software_enterprise-software_business-intelligence-software,ADOBE INC
