year,country,cyc2,cyc_katz,broker,eigen,country_name,GDP,new_cb_firms,CB_Firms_Cumulative
2017,ECU,0,0,0,0.4572823539745651,Ecuador,104467486000,26,1012
2017,EGY,2186274494.461987,2.6012525466967418e-12,0,0.9071346571561674,Egypt,248362771739.13,265,3787
2017,ESP,265981528654963870,0.00128356678649455,0,0.8867564034992933,Spain,1321754088818.83,1874,51617
2017,EST,1623527183276874.8,8.035741565270982e-6,0,0.5906424411508702,Estonia,27469461919.1189,270,2204
2017,ETH,0,0,0,0.41442734544008353,Ethiopia,76366081766.6667,45,345
2017,FIN,1449900838954415400,0.007585029628746742,0,0.6345127571046332,Finland,253846138440,404,9696
2017,FJI,0,0,0,0.5064113402597783,Fiji,5353469174.47838,1,71
2017,FRA,4035554779884102700,0.019783554529005265,0.01068487842681391,0.7564407349301449,France,2588868323334.71,2612,74224
2017,FRO,0,0,0,0.6032097016160187,Faroe Islands,2980057377.87967,0,28
2017,FSM,0,0,0,0.4127341599120455,Micronesia (Federated States of),359000000,0,1
2017,GAB,0,0,0,0.45728235397456507,Gabon,14929487485.1623,3,26
2017,GBR,4890877706873642e4,0.22634720769794225,0,0.748837377504208,United Kingdom,2699118387873.1,7394,186479
2017,GEO,19080695786641.59,5.492094394821123e-7,0,0.4949862207763069,Georgia,16473125375.0684,36,388
2017,GHA,14648615833390.188,3.478643684218241e-7,0,0.45728235397456507,Ghana,60385409434.8567,99,1135
2017,GIN,0,0,0,0.4451135585218617,Guinea,10324668271.1362,2,37
2017,GMB,0,0,0,0.44511355852186174,Gambia,1504909462.69521,0,31
2017,GNB,0,0,0,0.41442734544008353,Guinea-Bissau,1469978606.12143,0,2
2017,GNQ,0,0,0,0.32496490745053946,Equatorial Guinea,12200913878.9827,0,8
2017,GRC,5848009256.483723,6.595344270721171e-10,0,0.6523959693064877,Greece,200381103984.298,178,6588
2017,GRD,0,0,0,0.5260661013594237,Grenada,1125685185.18519,2,37
2017,GRL,0,0,0,0.4386576525318868,Greenland,2851613679.03433,0,18
2017,GTM,0,0,0,0.4572823539745651,Guatemala,71653780740.4226,22,461
2017,GUY,0,0,0,0.4451135585218617,Guyana,4748174334.14044,2,53
2017,HKG,2339899541964367e3,0.014731932670406067,0.005356969873098905,0.7194835913926431,Hong Kong SAR China,341273289534.466,642,12949
2017,HND,0,3.9812597663058114e-13,0,0.45728235397456507,Honduras,23136247990.5977,7,187
2017,HRV,4050804072132956,1.932553306671636e-5,0,0.5864112801939286,Croatia,56182782585.9052,76,1760
2017,HTI,0,0,0,0.4264888570791835,Haiti,15093357161.1498,3,48
2017,HUN,3443429110678.894,1.137937373218989e-7,0,0.5680490742731646,Hungary,143335098991.862,186,4076
2017,IDN,9182467175497.787,3.662139125282238e-8,0,0.8853712787246412,Indonesia,1015618744159.73,873,14469
2017,IND,26525808705979720,1.5587467012001532e-4,0.016070909619296716,0.9042207251238669,India,2651474262755.45,8809,148754
2017,IRL,729030364244841e3,0.0038669078677804336,0,0.8126388006043334,Ireland,348355212568.515,501,11533
2017,IRN,1157796090.140366,3.0171807274825824e-9,0,0.4567067582339836,Iran,510239893417.645,87,1308
2017,IRQ,0,0,0,0.4265961408927869,Iraq,187217660050.676,27,318
2017,ISL,0,0,0,0.5767446116241046,Iceland,25060086487.8901,30,733
2017,ISR,76065279459109e4,0.0036203850765188506,0,0.8714985671258909,Israel,358451839052.991,971,14724
2017,ITA,13146077516151538,1.621413208556799e-4,0.005356969873098905,0.8539638572993898,Italy,1970720904584.71,1851,61744
2017,JAM,0,0,0,0.5260661013594238,Jamaica,15783583236.675,15,363
2017,JOR,0,7.049916206369744e-13,0,0.494986220776307,Jordan,41608435915.493,68,1163
2017,JPN,21665753009501114e4,1.004424647777292,0.13807032839290903,0.575727258418338,Japan,4930837369151.42,1776,54512
2017,KAZ,188019615903.09003,3.0465234779342154e-9,0,0.47533145967666174,Kazakhstan,166805788827.233,30,513
2017,KEN,620926097241823.75,2.9011617892482633e-6,0,0.43305204688276167,Kenya,82036510877.2599,212,2639
2017,KGZ,0,0,0,0.45728235397456507,Kyrgyzstan,7702938379.42036,4,76
2017,KHM,0,0,0,0.45728235397456507,Cambodia,29355665909.7905,26,375
2017,KIR,0,0,0,0.4572823539745651,Kiribati,222875736.343445,0,0
2017,KNA,0,0,0,0.6141063242792599,St. Kitts & Nevis,1056977777.77778,4,50
2017,KOR,3774197211430247e4,0.20957656628955545,0.021418192385934322,0.6872807882061819,South Korea,1710196756713.17,1384,21915
2017,KWT,0,1.4099832412739488e-13,0,0.4939931654252155,Kuwait,120687539805.505,34,851
2017,LAO,0,0,0,0.43305204688276155,Laos,17071155481.4994,3,44
2017,LBN,3272120818.684341,3.0555802332798976e-10,0,0.47533145967666174,Lebanon,53027680685.9038,82,2033
2017,LBR,0,0,0,0.44511355852186163,Liberia,3390703400,1,47
2017,LBY,0,0,0,0.5136479265248608,Libya,67157452181.7738,2,62
2017,LCA,0,0,0,0.5360331912455345,St. Lucia,1998503703.7037,2,26
2017,LKA,0,1.8607337892717624e-13,0,0.45728235397456507,Sri Lanka,94369350285.5814,80,1309
2017,LSO,0,0,0,0.45728235397456507,Lesotho,2306741672.29006,3,30
2017,LTU,37461086727360704,2.0240278185235105e-4,0,0.5773541070521697,Lithuania,47756764508.446,167,2123
2017,LUX,378407854747876350,0.0017937736877173815,0,0.6079360889072319,Luxembourg,65712180342.9836,84,1784
2017,LVA,28715472637144.707,5.39566031187988e-7,0,0.5782242663163073,Latvia,29391059767.4259,93,1033
2017,MAC,0,0,0,0.4906216334200405,Macao SAR China,50297028370.6668,2,73
2017,MAR,0,5.803357794320618e-12,0,0.43865765253188693,Morocco,118540573367.844,54,1247
2017,MDA,0,0,0,0.5615095308048335,Moldova,9514404016.20949,20,216
