firm,category,iso_o
"Auxbrain, Inc.",games,USA
Avalinx LLC,games,USA
AvalonGames,games,TWN
Avanta Inc.,apps,RUS
Avast Software,apps,CZE
Avaz Inc.,apps,USA
"Avcr, Inc.",apps,USA
Avenza Systems Inc.,apps,CAN
avex entertainment Inc. JP,games,JPN
AVEX TECHNOLOGIES INC.,games,JPN
AVG Mobile,apps,CZE
Aviary,apps,USA
Aviationexam s.r.o.,apps,CZE
AVIRA,apps,DEU
Avocado Entertainment,games,KOR
Avocado Inc.,games,USA
Avtech,apps,TWN
Avvenire Nuova Editoriale Italiana Spa,apps,ITA
AWA Co. Ltd.,apps,JPN
Awared SLU,apps,RUS
AWEM GAMES LTD,games,CYP
Awesapp Ltd,apps,HKG
Awesome Prototype - Football Manager Game Creators,games,DEU
AWESOMEPIECE,games,KOR
AWR Wprost Sp. z o.o.,apps,POL
Axidep LLC,apps,RUS
AxiomMobile,apps,RUS
azacreations,apps,GBR
Azerion Casual,games,NLD
Azumio Inc.,apps,USA
AZUR GAMES,games,CYP
B&W e-projects,apps,NLD
b-interaktive,games,DEU
Babbel GmbH,apps,DEU
Babel ApS,apps,DNK
Babeltime Inc.,games,CHN
Babil Games,games,ARE
Baby Network Limited,apps,GBR
Baby Pics,apps,AUS
BabySparks Inc,apps,USA
Backflip Studios,games,USA
Bad Crane,games,FIN
Bad Robot Interactive,apps,USA
Bad Viking,games,GBR
Badoo,apps,GBR
Bagelcode: Social Casino & Slot Machine Games,games,KOR
BaiYi Technology,games,HKG
BAMTECH LLC,apps,USA
"BANANA DOG NETWORK TECHNOLOGY CO., LTD",games,CHN
"BANDAI CO.,LTD.",games,JPN
Bandai Namco Entertainment Inc.,games,JPN
Bandai Namco Filmworks Inc.,apps,JPN
"Bank of Innovation, Inc.",games,JPN
Bankana OU,games,EST
Bankin' SAS,apps,FRA
Bao Xu,games,TWN
"Baofeng Group Co.,Ltd.",apps,CHN
Baoling Li,games,AUS
Baorui Zhao,games,CHN
BARapps,apps,MYS
"Barges Technologies, Inc.",apps,USA
Barnstorm Games,games,GBR
Bastian Roessler,apps,DEU
Batoul Apps,apps,EGY
Battle Camp,games,SWE
Bauer Media,apps,FIN
Bazaart Ltd.,apps,ISR
BBG Entertainment GmbH,games,DEU
BBGame,games,JPN
BBM .,apps,IDN
BDA Entertainment,games,CAN
be2,apps,LUX
Beach Bum Ltd.,games,ISR
"Beachbody, LLC",apps,USA
Beamdog,games,CAN
Bearbit Studios B.V.,games,NLD
Beehive Innovations Services,apps,MYS
"Beeline Interactive, Inc.",games,USA
beemo,apps,DEU
Beemoov Games,games,FRA
"BeenVerified, Inc.",apps,USA
BeeOne,apps,TWN
BeerSmith LLC,apps,USA
Beetles Studio,games,CHN
Beetrick Technologies SL,games,ESP
Behaviour Interactive,games,CAN
bei zhang,games,BRA
"Beijing 5agame Information Technology Co., Ltd.",games,CHN
"Beijing Baidu Netcom Science & Technology Co.,Ltd",apps,CHN
"Beijing Bluecity Culture And Media Co., Ltd.",apps,CHN
"Beijing Champion Education Technology Co., Ltd.",apps,CHN
"Beijing Changliaotianxia Imformation Technology Co.,Ltd.",apps,CHN
"Beijing Dangdang Kewen E-commerce Co.,Ltd.",apps,CHN
"Beijing Diandiankankan Technology Co.,Ltd.",apps,CHN
"Beijing Duyou Science and Technology Co.,Ltd.",apps,CHN
"Beijing Fonesun Science & Technology Development Co., Ltd.",games,CHN
Beijing GaoZiXingYuan Science and Technology Ltd,apps,TWN
"Beijing Globallink Computer Technology Co., Ltd.",games,CHN
"Beijing Jingdong Century Trading Co., Ltd.",apps,CHN
"Beijing Juxin Wenyang Culture Communication Co., Ltd",apps,CHN
"Beijing Kai Luo Tian Xia Technology Co., Ltd.",games,CHN
Beijing KNET Eqxiu Technology Ltd.,apps,CHN
"Beijing Koudai Technology Co., Ltd.",apps,CHN
Beijing Kuzhi Tech ltd,apps,CHN
"Beijing Kwai Technology Co., Ltd.",apps,CHN
Beijing Laikan Technology Co. Ltd,apps,CHN
"Beijing Liuqu Network Technology Co., Ltd.",apps,CHN
"Beijing MeeLive Network Technology Co., Ltd.",apps,CHN
"Beijing Moca Technology Co., Ltd.",apps,CHN
"Beijing Momo Technology Co., Ltd.",apps,CHN
"Beijing Momo Technology Co., Ltd.",games,CHN
"Beijing Ovital Software Co.,Ltd.",apps,CHN
"Beijing Perfect World Software Technology Development Co., Ltd.",games,CHN
"Beijing Sogou Technology Development Co.,Ltd.",apps,CHN
"Beijing TIANMASHIKONG Network Technology Co., Ltd",games,CHN
Beijing TianyingJiuzhou Network Technology Co. Ltd,apps,CHN
"Beijing Weimeng Internet Technology Co., Ltd.",apps,CHN
"Beijing wing cavalry Network Technology Co., Ltd.",games,CHN
"Beijing Wisdom Tree Technology Co., Ltd.",apps,CHN
"Beijing WuSe Technology Co., Ltd.",apps,CHN
"Beijing Xiaochang Technology Co., Ltd.",apps,CHN
"Beijing Xinai Sports Media Technology Co.,Ltd.",apps,CHN
"Beijing Xinghe Time Information Technology Co.,Ltd.",apps,CHN
"Beijing YiTian XinDong Network Tech Co., Ltd.",apps,CHN
"Beijing Zhihuiliu Education Technology Co., Ltd.",apps,CHN
"Beijing Zhizhetianxia Technology Co., Ltd.",apps,CHN
"Beijing Zhongzhichuangshi Technology Co., Ltd",apps,CHN
beIN MEDIA GROUP,apps,QAT
beiyoukeji,games,CHN
"Bejing KTGame Technology Co.,Ltd.",games,CHN
Beki Erikli,apps,TUR
Bekir Kaya,apps,AUT
BEKKO GAMES,games,HKG
BELKA GAMES,games,CYP
BELRED TECHNOLOGY COMPANY LIMITED,games,TWN
Bending Spoons Apps IVS,apps,IND
Benoholdings,games,KOR
"Benoholdings, INC",games,KOR
Bentel Security Srl,apps,ITA
bergfex GmbH,apps,AUT
Berk Imamoglu,apps,TUR
BerliTec GmbH,apps,DEU
Berobasket,games,POL
Bertheussen IT,games,NOR
Best Place Apps,games,RUS
Best studio,apps,ARG
Best You Wellbeing Limited,apps,GBR
Bethesda Softworks LLC,games,USA
"Better Day Wireless, Inc.",games,USA
Betternet LLC,apps,CAN
Bevin Software OU,games,COL
